territory,indicator,year,value,unit,source_doc,source_url,retrieved_date,note
Sabah,Life expectancy,2024,75.3,years,DOSM Abridged Life Tables Malaysia 2024,https://www.dosm.gov.my/portal-main/release-content/abridged-life-tables-malaysia-2024,2026-06-29,Life expectancy at birth (both sexes); reported via DOSM/Bernama 2024 release
Sarawak,Life expectancy,2024,75.4,years,DOSM Abridged Life Tables Malaysia 2024,https://www.dosm.gov.my/portal-main/release-content/abridged-life-tables-malaysia-2024,2026-06-29,Life expectancy at birth (both sexes); reported via DOSM/Bernama 2024 release
Sarawak,Electrification ratio,2023,99.4,%,Sarawak Energy (via Bernama),https://bernama.com/en/news.php?id=2281533,2026-06-29,Domestic electrification rate end-2023 (rural coverage 98.4%)
Brunei,Crop production (paddy),2023,3700,tonnes,FAO / Brunei Dept of Agriculture & Agrifood,https://www.agriculture.gov.bn/,2026-06-29,Approx paddy production 2023 (FAO ~3.7k t); small-scale local rice
Sarawak,Tourist arrivals,2024,4831000,arrivals,Sarawak Ministry of Tourism (via The Star),https://www.thestar.com.my/news/nation/2025/02/21/sarawak-exceeds-2024-tourist-arrival-target-by-20-rakes-in-rm1245bil,2026-06-29,Full-year 2024 visitor arrivals (domestic + international)
Sabah,Tourist arrivals,2024,3200000,arrivals,Sabah CM (via Malay Mail/Daily Express),https://www.malaymail.com/news/malaysia/2024/10/11/sabah-set-to-surpass-three-million-tourist-arrivals-in-2024-revenue-hits-rm488b-says-state-minister/153296,2026-06-29,Full-year 2024 ~3.2 million (rounded official statement)
Brunei,Tourist arrivals,2024,678037,arrivals,Brunei Tourism Industry Performance Report 2024 (Tourism Development Dept),https://www.tourism.gov.bn/SiteCollectionDocuments/Statistics/20250228_Brunei%20Darussalam%20Tourism%20Industry%20Performance%20Report.pdf,2026-06-29,Replaces stale World Bank 2020 figure; official 2024 visitor arrivals (air+land+sea)
Sabah,National parks (count),2024,9,count,Sabah Parks,https://www.sabahparks.org.my/,2026-06-29,Parks managed by Sabah Parks statutory body; definition differs per jurisdiction - not scale-comparable
Sarawak,National parks (count),2024,30,count,Forest Department Sarawak,https://forestry.sarawak.gov.my/web/subpage/webpage_view/1012,2026-06-29,Includes many smaller parks; definition differs per jurisdiction - not scale-comparable
Brunei,National parks (count),2024,1,count,Brunei Forestry / Ulu Temburong NP,https://www.forestry.gov.bn/,2026-06-29,Ulu Temburong National Park; definition differs per jurisdiction
Kalimantan,National parks (count),2024,8,count,Indonesia Ministry of Forestry (taman nasional),https://en.wikipedia.org/wiki/List_of_national_parks_of_Indonesia,2026-06-29,8 federal taman nasional in Kalimantan; large federal parks - not scale-comparable to MY state parks
